stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2200YEZ01356,,"Bridlington Hustler Road",,54.09536,-0.183369,,,,,,
2200YEA11710,,"Bridlington Martongate",,54.101927,-0.18192,,,,,,
2200YEA11685,,"Bridlington Sewerby Road",,54.098464,-0.178845,,,,,,
2200YEA11778,,"Bridlington Sewerby Road",,54.097008,-0.183557,,,,,,
2200YEA00459,,"Bridlington Sewerby Road",,54.097214,-0.183518,,,,,,
2200YEA01579,,"Bridlington Viking Road",,54.103359,-0.173781,,,,,,
2200YEA00453,,"Bridlington Viking Road",,54.099819,-0.175711,,,,,,
2200YEA00452,,"Bridlington Viking Road",,54.101014,-0.173854,,,,,,
2200YEZ01355,,"Hustler Road",,54.095591,-0.183833,,,,,,
2200YEA11903,,"The Crayke",,54.105371,-0.184416,,,,,,
2200YEA01738,,"Viking Road (Marton Gate)",,54.105019,-0.174228,,,,,,
2200YEA12162,,"Bempton Lane/Bowlm Lane",,54.127103,-0.19675,,,,,,
2200YEZ01352,,"Bridlington Darwin Road",,54.102617,-0.193162,,,,,,
2200YEZ01280,,"Bridlington The Hawthorns",,54.119796,-0.198597,,,,,,
2200YEZ01279,,"Bridlington The Hawthorns",,54.119701,-0.198892,,,,,,
2200YEA00460,,"St Aidan Road",,54.096415,-0.188951,,,,,,
2200YEA00461,,"St Aidan Road",,54.096317,-0.189062,,,,,,
2200YEA01742,,"St Anne's Road",,54.089188,-0.181208,,,,,,
2200YEA00433,,"Bridlington Bessingby Hill",,54.095162,-0.215217,,,,,,
2200YEA00449,,"Bridlington Marton Gate",,54.099351,-0.187554,,,,,,
2200YEA11720,,"Bridlington Park & Ride Site",,54.068091,-0.208172,,,,,,
2200YEA11884,,"East Riding Leisure",,54.084609,-0.186943,,,,,,
2200YEA00417,,"Harbour Top",,54.080809,-0.193682,,,,,,
2200YEZ01261,,"Beverley Burden Road",,53.850484,-0.419251,,,,,,
2200YEA11926,,"Beverley Bus Station",,53.844123,-0.431818,,,,,,
2200YEZ01259,,"Beverley Cherry Tree Lane",,53.842227,-0.419547,,,,,,
2200YEZ01267,,"Beverley Lilac Avenue",,53.855966,-0.423286,,,,,,
2200YEA12148,,"Beverley Lincoln Way",,53.827046,-0.435403,,,,,,
2200YEA11877,,"Beverley Manor Road",,53.845555,-0.432053,,,,,,
2200YEZ01269,,"Beverley Sample Avenue",,53.847254,-0.423158,,,,,,
